,Total Return (%),Annualized Return (%),Volatility (%),Sharpe Ratio,Max Drawdown (%),Current Price,vs Benchmark (%),Sector
GOOGL,31.71,200.94,29.97,6.71,-8.2,321.98,28.96,Communication Services
LLY,31.22,196.44,28.37,6.92,-11.51,1108.09,28.47,Health Care
AMZN,7.26,32.33,34.29,0.94,-14.51,241.56,4.51,Consumer Discretionary
VOO,2.78,11.59,12.73,0.91,-5.06,634.17,0.03,Unknown
SPY,2.75,11.46,12.82,0.89,-5.07,689.58,0.0,Unknown
QQQ,2.19,9.05,18.05,0.5,-7.88,624.02,-0.56,Unknown
V,1.49,6.08,19.96,0.3,-7.62,355.88,-1.26,Financials
AAPL,0.98,3.97,18.3,0.22,-9.04,260.33,-1.77,Information Technology
NVDA,0.01,0.02,36.84,0.0,-17.43,189.11,-2.74,Information Technology
BRK-B,-0.74,-2.94,14.13,-0.21,-4.55,496.12,-3.49,Financials
TSLA,-1.66,-6.47,45.45,-0.14,-16.5,431.41,-4.41,Consumer Discretionary
MSFT,-7.71,-27.46,19.18,-1.43,-12.74,483.47,-10.46,Information Technology
META,-9.56,-33.1,33.57,-0.99,-21.62,648.69,-12.31,Communication Services
